id,station_name,Average exit trip duration,station_latitude_x,station_longitude_x,bikes_leaving,bikes_entering,Average enter trip duration
266,One Brigham Circle,794.591687,42.3339227,-71.10446509,409,375,1009.832
270,Orient Heights T Stop - Bennington St at Saratoga St,1968.542857,42.386781,-71.006098,35,41,1885.219512
273,Packard's Corner - Commonwealth Ave at Brighton Ave,1032.280799,42.352261,-71.123831,901,876,1181.400685
274,Park Dr at Buswell St,852.6527094,42.347241,-71.105301,406,445,848.7303371
275,Park Plaza at Charles St S.,770.3820598,42.35182807,-71.06781138,301,367,878.520436
277,Pier 4 Blvd at Autumn Ln,719.0321101,42.3502102,-71.0446705,218,237,1303.236287
279,Porzio Park,2276.92,42.36411904,-71.02876782,50,54,2644.5
281,Prudential Center - 101 Huntington Ave,2068.964994,42.34652004,-71.08065777,857,852,851.1889671
282,Purchase St at Pearl St,2037.071429,42.354659,-71.053181,518,521,689.1880998
289,Roseland St At Dorchester Ave,482.0666667,42.29116853,-71.0630089,15,21,2506.0
290,Roslindale Village - South St,55901.75,42.287072,-71.127754,20,42,1197.047619
291,Roslindale Village - Washington St,1738.88,42.28630716,-71.12820532,25,23,1397.565217
292,Ross Playground,961.0,42.2645666,-71.1145523,1,3,14558.33333
293,Rowes Wharf at Atlantic Ave,680.1205674,42.357143,-71.050699,423,408,720.2132353
294,Roxbury Crossing T Stop - Columbus Ave at Tremont St,637.166205,42.331184,-71.095171,722,721,652.592233
295,Roxbury YMCA - Warren St at MLK Blvd,2993.873239,42.31787329,-71.08243078,71,67,7280.19403
296,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,762.0134615,42.33624445,-71.08798563,1040,1118,784.2334526
297,S Huntington Ave at Heath St,803.221519,42.32760387,-71.1108917,158,143,1057.636364
302,Savin Hill T Stop - S Sydney St at Bay St,1889.657143,42.3106,-71.0539,35,64,14782.03125
303,Seaport Blvd at Sleeper St,2286.630662,42.35317809,-71.04817357,861,886,1041.502257
304,Seaport Hotel - Congress St at Seaport Ln,1287.861423,42.34881026,-71.04167744,267,271,973.1918819
305,Seaport Square - Seaport Blvd at Northern Ave,817.6076555,42.35148193,-71.04436085,418,454,1264.629956
307,Shawmut Ave at Lenox St,724.2333333,42.33584613,-71.08038157,60,91,895.5934066
308,Shawmut Ave at Oak St W,5250.710602,42.34854543,-71.06559185,349,365,699.6657534
309,Shawmut T Stop,8995.230769,42.292917,-71.06575,39,41,36310.43902
312,Silber Way,915.9371069,42.349496,-71.10057592,636,708,890.8403955
