Time,mode_type,location_type,street,xstreet1,xstreet2,x_cord,y_cord,lat,long
2021-08-24 09:00:56+00,bike,Intersection,,NORTHAMPTON ST,COLUMBUS AVE,769036.11,2949215.42,42.34003981,-71.08251815
2021-08-24 14:20:44+00,bike,Street,MASSACHUSETTS AVE,NAPA ST,SHIRLEY ST,773308.45,2944516.06,42.32698485,-71.0670234
2021-08-25 18:09:59+00,bike,Intersection,,OLD HARBOR ST,DORCHESTER ST,778519.99,2947295.14,42.33463778,-71.04747746
2021-08-25 18:42:14+00,bike,Intersection,,PERKINS ST,FRANCIS PARKMAN DR,757899.64,2941608.45,42.31930813,-71.12383328
2021-08-26 18:30:06+00,bike,Street,COMMONWEALTH AVE,BROOKLINE AVE,KENMORE ST,765621.53,2952295.9,42.34879221,-71.09510166
2021-08-26 19:26:16+00,bike,Intersection,,GIBSON ST,DORCHESTER AVE,774923.36,2933643.37,42.29722832,-71.06103916
2021-08-30 17:35:44+00,bike,Intersection,,CENTOLA ST,LEO M BIRMINGHAM PKWY,751542.07,2956179.66,42.35936669,-71.14711779
2021-08-31 19:23:24+00,bike,Street,HUNTINGTON AVE,FRANCIS ST,WIGGLESWORTH ST,763317.93,2947120.51,42.33446644,-71.10377485
2021-09-03 14:30:42+00,bike,Street,DUDLEY ST,BURGESS ST,MAGNOLIA ST,772555.61,2941684.5,42.31901358,-71.06985853
2021-09-04 16:24:02+00,bike,Intersection,,ADAMS ST,KING ST,775939.31,2932154.05,42.29312714,-71.05731254
2021-09-04 18:40:36+00,bike,Street,FOWLER ST,GLENWAY ST,GREENWOOD ST,769083.08,2934863.21,42.30052267,-71.08253776
2021-09-06 17:28:30+00,bike,Intersection,,WESTERN AVE,SOLDIERS FIELD RD,752044.78,2956989.14,42.3615822,-71.14524536
2021-09-07 09:49:47+00,bike,Intersection,,ALBANY ST,MASSACHUSETTS AVE,771496.77,2946868.37,42.33356602,-71.07346022
2021-09-08 18:37:44+00,bike,Intersection,,MASSACHUSETTS AVE,ALBANY ST,771496.77,2946868.37,42.33356602,-71.07346022
2021-09-09 11:27:50+00,bike,Other,,,,780636.55,2965289.62,42.3839838,-71.03929007
2021-09-09 17:24:02+00,bike,Street,BRIGHTON AVE,ISLINGTON ST,HIGGINS ST,754398.51,2953965.91,42.35340614,-71.13655686
2021-09-10 09:53:01+00,bike,Street,JERSEY ST,QUEENSBERRY ST,PARK DR,765101.86,2950113.53,42.34260421,-71.09687283
2021-09-10 14:16:40+00,bike,Street,WESTERN AVE,EAST DR,HAGUE ST,758681.26,2957883.91,42.36394361,-71.12067328
2021-09-12 03:49:35+00,bike,Street,MASSACHUSETTS AVE,SHAWMUT AVE,CHESTER PARK,770203.64,2948425.38,42.33772845,-71.07840598
2021-09-13 12:50:45+00,bike,Street,TREMONT ST,WEST ST,AVERY ST,774093.93,2954312.25,42.35401831,-71.06393859
2021-09-15 05:54:49+00,bike,Street,SOUTHAMPTON ST,ELLERY ST,BOSTON ST,775850.65,2945505.78,42.32958423,-71.05744891
2021-09-15 17:39:25+00,bike,Street,RIVER ST,LEAHAVEN RD,LEDGEBROOK RD,769113.96,2924127.44,42.27133511,-71.08268195
2021-09-15 18:01:42+00,bike,Intersection,,BLUE LEDGE DR,ENNEKING PKWY,753394.39,2925208.74,42.27435956,-71.14074705
2021-09-15 18:32:14+00,bike,Intersection,,CHARLES ST,SILVER PL,772158.43,2956714.01,42.36057361,-71.07082995
2021-09-16 14:01:39+00,bike,Intersection,,DORCHESTER AVE,SOUTHAMPTON ST,775953.03,2945415,42.32951559,-71.05700728
2021-09-19 01:40:44+00,bike,Intersection,,KNEELAND ST,ALBANY ST,775177.11,2952933.92,42.35015875,-71.0597332
2021-09-19 02:01:36+00,bike,Intersection,,JOHN F. FITZGERALD SURFACE RD,ESSEX ST,775601.71,2953741.89,42.35236981,-71.05814698
2021-09-20 10:43:25+00,bike,Intersection,,BEVERLY ST,CAUSEWAY ST,775022.61,2958712.44,42.3660173,-71.06019453
2021-09-21 08:54:47+00,bike,Intersection,,BEACON ST,CHESTNUT HILL AVE,750692.36,2947492.78,42.33553916,-71.15039335
2021-09-23 12:39:54+00,bike,Intersection,,MILK ST,PEARL ST,776246.55,2955400.66,42.35691232,-71.05572946
2021-09-24 00:38:28+00,bike,Intersection,,MURDOCK ST,N BEACON ST,752081.63,2954652.66,42.35517041,-71.14514498
2021-09-24 17:18:28+00,bike,Intersection,,COMMONWEALTH AVE,GREYCLIFF RD,747696.25,2949171.4,42.34017853,-71.16144981
2021-09-24 22:47:54+00,bike,Street,MONSIGNOR PATRICK J. LYDON WAY,DORCHESTER AVE,FLORIDA ST,774448.72,2930444.11,42.28828799,-71.06277527
2021-09-25 10:55:50+00,bike,Intersection,,COMMONWEALTH AVE,CHARLESGATE E,766570.39,2952549.63,42.34922174,-71.09157917
2021-09-27 10:59:53+00,bike,Intersection,,MARLBOROUGH ST,MASSACHUSETTS AVE,767240.22,2952859.41,42.35006296,-71.08909576
2021-09-28 21:17:18+00,bike,Intersection,,BEXLEY RD,WASHINGTON ST,757281.89,2930256.36,42.28816477,-71.12630134
2021-09-29 17:39:13+00,bike,Intersection,,OLD COLONY AVE,DORCHESTER AVE,775959.79,2948492.47,42.33796017,-71.05692316
2021-09-29 19:10:50+00,bike,Intersection,,DARTMOUTH ST,MARLBOROUGH ST,770043.1,2953896.41,42.35287099,-71.07870804
2021-09-30 11:52:47+00,bike,Intersection,,CENTRE ST,LAGRANGE ST,748670.12,2927498.1,42.28069502,-71.15816896
2021-10-01 14:31:07+00,bike,Street,MELCHER ST,SUMMER ST,NECCO ST,777720.86,2952877.01,42.34980688,-71.05052788
2021-10-02 11:28:06+00,bike,Street,ARCHDALE RD,WASHINGTON ST,SOUTH ST,758455.87,2931985.73,42.29301207,-71.12181453
2021-10-03 13:35:17+00,bike,Intersection,,DECKARD ST,HUMBOLDT AVE,767890.72,2940591.88,42.31639177,-71.08690913
2021-10-04 06:16:57+00,bike,Intersection,,CEDAR ST,CENTRE ST,765504.09,2944696.14,42.32768543,-71.09566144
2021-10-06 22:51:13+00,bike,Other,,,,774425.85,2959478.65,42.36812821,-71.06238815
2021-10-12 00:35:33+00,bike,Intersection,,DUDLEY ST,HARRISON AVE,768996.06,2945051.04,42.32861314,-71.08274164
2021-10-13 01:48:13+00,bike,Intersection,,DORCHESTER AVE,PARK ST,775029.79,2934156.24,42.29863416,-71.06063601
2021-10-13 16:55:10+00,bike,Street,HARRISON AVE,SAVOY ST,ROLLINS ST,773135.3,2949645.73,42.341159,-71.06734042
2021-10-14 16:51:47+00,bike,Intersection,,SPRING ST,ALARIC ST,747538.18,2926396.6,42.27768479,-71.16236793
2021-10-14 23:25:39+00,bike,Intersection,,WESTERN AVE,SOLDIERS FIELD RD,752044.78,2956989.14,42.3615822,-71.14524536
2021-10-15 00:58:59+00,bike,Street,BOYLSTON ST,IPSWICH ST,JERSEY ST,765557.5,2951006.35,42.34519953,-71.09544795
2021-10-18 13:15:56+00,bike,Street,COMMONWEALTH AVE,HARRY AGGANIS WAY,BUICK ST,760015.89,2953175.83,42.35100724,-71.11581935
2021-10-19 15:01:53+00,bike,Street,WASHINGTON ST,MONASTERY RD,NANTASKET AVE,751445.53,2951640.87,42.34672002,-71.14768351
2021-10-20 07:29:26+00,bike,Intersection,,PERKINS ST,FRANCIS PARKMAN DR,757899.64,2941608.45,42.31930813,-71.12383328
2021-10-22 06:35:33+00,bike,Street,BROOKLINE AVE,SHORT ST,LONGWOOD AVE,762776.07,2949111.42,42.34005083,-71.10605335
2021-10-22 15:14:46+00,bike,Intersection,,FREEPORT ST,BEACH ST,776732.43,2936071.87,42.30386651,-71.05430551
2021-10-22 18:17:20+00,bike,Intersection,,GENEVA AVE,PARK ST,774537.05,2933961.62,42.29810706,-71.06246102
2021-10-22 23:48:06+00,bike,Street,MERIDIAN ST,PARIS ST,HAVRE ST,780800.01,2960882.45,42.37188445,-71.03900433
2021-10-23 02:39:49+00,bike,Intersection,,ESSEX ST,KINGSTON ST,775266.24,2953799.91,42.35253378,-71.05938693
2021-10-24 17:52:21+00,bike,Street,SOUTHAMPTON ST,ATKINSON ST,MASSACHUSETTS AVE,772633.48,2946444.11,42.33196417,-71.06941753
