start station name,Average trip duration,station latitude,station longitude,bikes leaving
Hawthorne Boulevard,1893.842105263158,42.5223714,-70.8903331,19
High St at Cypress St,1255.5142857142857,42.32464511,-71.12135231,70
Honan Library,1021.2347266881029,42.3602737,-71.12852452,311
Hood Park,986.7741935483871,42.38004535,-71.07304573,62
Huntington Ave at Mass Art,1228.6791443850268,42.33658555,-71.09886996,374
Huron Ave At Vassal Lane,1174.311224489796,42.38165061,-71.13426981,196
Hyde Park Ave at Walk Hill St,1244.2571428571428,42.29606705,-71.116012,35
Hyde Park Library,1725.5,42.2568376,-71.122509,2
Hyde Square - Barbara St at Centre St,904.3677419354839,42.32176526,-71.10984161,310
ID Building East,831.9444444444445,42.344827,-71.028664,162
ID Building West,776.6842105263158,42.344796,-71.031614,247
Ink Block - Harrison Ave at Herald St,2550.9592760180994,42.34590099999999,-71.063187,442
Inman Square at Springfield St.,976.5230460921844,42.37426714,-71.10026479,998
Innovation Lab - 125 Western Ave at Batten Way,1530.1775,42.36371276,-71.12459779,400
JFK Crossing at Harvard St. / Thorndike St.,784.2541436464088,42.34655124,-71.12833211,181
JFK/UMass T Stop,822.0,42.32033974,-71.05118036,102
Jackson Square T Stop,889.2761904761904,42.32293117,-71.10014141,315
Jamaica St at South St,1420.8524590163934,42.30604563,-71.11570891,61
John Ahern Field at Kennedy-Longfellow School,820.6025641025641,42.36903567,-71.0863096,234
Kearins Playground,879.0,42.40616124,-71.06041655,2
Kendall Street,677.090625,42.36356016,-71.08216792,320
Kendall T,643.6316287878788,42.36242784,-71.08495474,1056
Kenmore Square,1779.8362235067436,42.348706,-71.097009,519
Kennedy-Longfellow School 158 Spring St,676.8185328185328,42.36955298,-71.08579015,777
Lafayette Square at Mass Ave / Main St / Columbia St,731.7130509939499,42.36346469,-71.10057324,1157
Lafayette at Leach St,7347.071428571428,42.51142784,-70.89183301,14
Landmark Center - Brookline Ave at Park Dr,1184.6587366694012,42.34369056,-71.10235287,1219
Langley Lot,5199.0,42.330528,-71.192861,2
Lansdowne T Stop,1066.709090909091,42.34734473,-71.10016808,605
Lesley University,699.4702842377261,42.38674802,-71.11901879,387
Lewis Wharf at Atlantic Ave,1408.454806312769,42.363871,-71.050877,697
Linear Park - Mass. Ave. at Cameron Ave. ,696.4326424870467,42.397828,-71.130516,386
