end station name,Average trip duration,station latitude,station longitude,bikes entering
HMS/HSPH - Avenue Louis Pasteur at Longwood Ave,902.2486486486487,42.33741748,-71.10286117,740
Harrison Ave at Bennet St,865.031185031185,42.3494261,-71.0620996,481
Harrison Ave at E. Dedham St,675.5441527446301,42.33919399999999,-71.06975,419
Harrison Ave at Mullins Way,2256.877840909091,42.34521562,-71.06384031,704
Harvard Ave at Brainerd Rd,988.9367681498829,42.34953017,-71.13022771,427
Harvard Kennedy School at Bennett St / Eliot St,868.4929577464789,42.3722168,-71.12188071,781
Harvard Law School at Mass Ave / Jarvis St,777.3921085080148,42.379011,-71.119945,811
Harvard Square at Brattle St / Eliot St,1154.656113537118,42.37332880000001,-71.12098601,916
Harvard Square at Mass Ave/ Dunster,839.195060483871,42.373268,-71.118579,1984
Harvard St and Stedman St,785.9047619047619,42.34435176,-71.12490356,336
Harvard St at Greene-Rose Heritage Park,760.827018121911,42.36599433,-71.09522222,607
Harvard Stadium: N. Harvard St at Soldiers Field Rd,1160.4524207011686,42.368019,-71.1242,599
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,633.6776232616941,42.377945,-71.116865,791
Harvard University Gund Hall at Quincy St / Kirkland St,732.8104265402843,42.376369,-71.114025,633
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,757.2689075630252,42.366621,-71.114214,595
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,649.243093922652,42.380287,-71.125107,543
Harvard University River Houses at DeWolfe St / Cowperthwaite St,1610.0507425742574,42.36923907,-71.11687034,808
Hawthorne Boulevard,1752.6153846153845,42.5223714,-70.8903331,13
High St at Cypress St,1069.621951219512,42.32464511,-71.12135231,82
Honan Library,1004.2067901234568,42.3602737,-71.12852452,324
Hood Park,41198.228070175435,42.38004535,-71.07304573,57
Huntington Ave at Mass Art,912.6626794258373,42.33658555,-71.09886996,418
Huron Ave At Vassal Lane,990.02,42.381650609999994,-71.13426981,200
Hyde Park Ave at Walk Hill St,3683.4,42.29606705,-71.116012,15
Hyde Park Library,4625.5,42.2568376,-71.122509,4
Hyde Square - Barbara St at Centre St,1079.313492063492,42.32176526,-71.10984161,252
ID Building East,758.8430232558139,42.344827,-71.028664,172
ID Building West,870.1022222222222,42.344796,-71.031614,225
Ink Block - Harrison Ave at Herald St,563.9850746268656,42.345901,-71.06318699999999,469
Inman Square at Springfield St.,757.0010050251257,42.37426714,-71.10026479000001,995
Innovation Lab - 125 Western Ave at Batten Way,1085.9949109414758,42.36371276,-71.12459779,393
