start_station_name,Average_trip_duration,station_latitude,station_longitude,bikes_leaving
Harvard Square at Mass Ave/ Dunster,1026.581491,42.373268,-71.118579,1945
Harvard St and Stedman St,735.3562005,42.34435176,-71.12490356,379
Harvard St at Greene-Rose Heritage Park,732.2330579,42.36599433,-71.09522222,605
Harvard Stadium: N. Harvard St at Soldiers Field Rd,1188.113946,42.368019,-71.1242,588
Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,1590.616995,42.377945,-71.116865,812
Harvard University Gund Hall at Quincy St / Kirkland St,2405.293395,42.376369,-71.114025,651
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,707.7446103,42.366621,-71.114214,603
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,998.5009346,42.380287,-71.125107,535
Harvard University River Houses at DeWolfe St / Cowperthwaite St,778.9941038,42.36923907,-71.11687034,848
Hawthorne Boulevard,1893.842105,42.5223714,-70.8903331,19
High St at Cypress St,1255.514286,42.32464511,-71.12135231,70
Honan Library,1021.234727,42.3602737,-71.12852452,311
Hood Park,986.7741935,42.38004535,-71.07304573,62
Huntington Ave at Mass Art,1228.679144,42.33658555,-71.09886996,374
Huron Ave At Vassal Lane,1174.311224,42.38165061,-71.13426981,196
Hyde Park Ave at Walk Hill St,1244.257143,42.29606705,-71.116012,35
Hyde Park Library,1725.5,42.2568376,-71.122509,2
Hyde Square - Barbara St at Centre St,904.3677419,42.32176526,-71.10984161,310
ID Building East,831.9444444,42.344827,-71.028664,162
ID Building West,776.6842105,42.344796,-71.031614,247
Ink Block - Harrison Ave at Herald St,2550.959276,42.345901,-71.063187,442
Inman Square at Springfield St.,976.5230461,42.37426714,-71.10026479,998
Innovation Lab - 125 Western Ave at Batten Way,1530.1775,42.36371276,-71.12459779,400
JFK Crossing at Harvard St. / Thorndike St.,784.2541436,42.34655124,-71.12833211,181
JFK/UMass T Stop,822,42.32033974,-71.05118036,102
Jackson Square T Stop,889.2761905,42.32293117,-71.10014141,315
Jamaica St at South St,1420.852459,42.30604563,-71.11570891,61
John Ahern Field at Kennedy-Longfellow School,820.6025641,42.36903567,-71.0863096,234
Kearins Playground,879,42.40616124,-71.06041655,2
Kendall Street,677.090625,42.36356016,-71.08216792,320
Kendall T,643.6316288,42.36242784,-71.08495474,1056
Kenmore Square,1779.836224,42.348706,-71.097009,519
Kennedy-Longfellow School 158 Spring St,676.8185328,42.36955298,-71.08579015,777
Lafayette Square at Mass Ave / Main St / Columbia St,731.713051,42.36346469,-71.10057324,1157
Lafayette at Leach St,7347.071429,42.51142784,-70.89183301,14
Landmark Center - Brookline Ave at Park Dr,1184.658737,42.34369056,-71.10235287,1219
Langley Lot,5199,42.330528,-71.192861,2
Lansdowne T Stop,1066.709091,42.34734473,-71.10016808,605
Lesley University,699.4702842,42.38674802,-71.11901879,387
Lewis Wharf at Atlantic Ave,1408.454806,42.363871,-71.050877,697
Linear Park - Mass. Ave. at Cameron Ave. ,696.4326425,42.397828,-71.130516,386
Linwood St at Minuteman Bikeway,962.6390533,42.40935396,-71.14906519,169
Longwood Ave at Binney St,1003.044653,42.338629,-71.1065,851
Lower Cambridgeport at Magazine St / Riverside Rd,1131.533107,42.3572185,-71.11387163,1178
MIT Carleton St at Amherst St,714.8040936,42.36054174,-71.08669817,1026
MIT Hayward St at Amherst St,696.3261364,42.36085937,-71.08551858,880
MIT Pacific St at Purrington St,669.7016848,42.3595732,-71.10129476,2018
MIT Stata Center at Vassar St / Main St,599.3372093,42.36213123,-71.09115601,1548
MIT Vassar St,669.9187228,42.35560121,-71.10394478,2067
