start station id,start station name,start station latitude,start station longitude,tripduration
335,Harvard St at Greene-Rose Heritage Park,42.36599433,-71.09522222,732.2330579
336,Mattapan T Stop,42.267902,-71.093641,2188.333333
337,Roslindale Village - South St,42.287072,-71.127754,55901.75
338,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,983.678392
340,Blue Hill Ave at Almont St,42.27462067,-71.09372552,1684.666667
341,Roslindale Village - Washington St,42.28630716,-71.12820532,1738.88
342,Boylston St at Jersey St,42.34465063,-71.09732501,985.9958805
344,Commonwealth Ave at Chiswick Rd,42.34024645,-71.15168806,1575.153061
345,Park Plaza at Charles St S.,42.35182807,-71.06781138,770.3820598
346,Cleveland Circle,42.33554308,-71.1506152,3005.136905
348,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,1557.0625
349,Washington St at Talbot Ave,42.290333,-71.071806,23374.33333
350,Codman Square Library,42.2873611,-71.071111,1721.193548
351,Faneuil St at Arlington St,42.35276621,-71.15988486,20655.4186
353,Mattapan Library,42.2773889,-71.09325,4882.5
355,Bennington St at Constitution Beach,42.38522394,-71.01063069,1423.846154
356,Charlestown Navy Yard,42.37412455,-71.054812,1664.740177
358,Medford St at Charlestown BCYF,42.38042947,-71.06055722,3392.08046
359,One Brigham Circle,42.3339227,-71.10446509,794.591687
360,Bartlett St at John Elliot Sq,42.3294633,-71.0901582,980.6300578
361,Deerfield St at Commonwealth Ave,42.34924377,-71.0972821,1007.105985
362,Columbia Rd at Tierney Community Center,42.33023071,-71.05060093,2874.388889
363,Harrison Ave at Mullins Way,42.34521562,-71.06384031,764.9756098
364,Tremont St at Northampton St,42.3384318,-71.0816905,894.2930328
365,Harrison Ave at Bennet St,42.3494261,-71.0620996,728.6666667
367,Vassal Lane at Tobin/VLUS,42.38536765,-71.13775671,1152.269231
370,Dartmouth St at Newbury St,42.35096144,-71.07782811,1133.796472
371,700 Huron Ave,42.38078817,-71.15412891,2186.261364
372,Boylston St at Exeter St,42.34958942,-71.07946779,3234.973199
373,Belgrade Ave at Walworth St,42.28634589,-71.1367213,1122.272727
374,Tremont St at Hamilton Pl,42.35668335,-71.06166646,970.9833532
376,Honan Library,42.3602737,-71.12852452,1021.234727
377,Perry Park,42.37927325,-71.10341903,868.1388889
378,191 Beacon St,42.38032335,-71.10878613,659.0470348
379,Tremont St at W. Dedham St,42.34254914,-71.07421449,692.2831858
380,Mass Ave at Albany St,42.36135838,-71.09670274,646.4434358
381,Inman Square at Springfield St.,42.37426714,-71.10026479,976.5230461
385,Albany St at E. Brookline St,42.33664795,-71.0689446,827.381733
386,Sennott Park Broadway at Norfolk Street,42.36860524,-71.09930186,663.927665
387,7 Acre Park,42.41143223,-71.06823265,12737.9
389,Everett Square (Broadway at Chelsea St),42.40743489,-71.05533242,3555.272727
390,Broadway at Lynde St,42.39648358,-71.0654676,1477.636364
391,Encore,42.39329263,-71.0724476,1304.018519
392,Glendale Square (Ferry St at Broadway),42.41427294,-71.04479656,4021.83871
393,Swan St. Park,42.41250451,-71.05842225,1128.407407
394,Broadway at Maple St,42.41034691,-71.05260458,578.4
395,Chelsea St at Vine St,42.40328057,-71.0476264,1021.578947
396,Wasgott Playground,42.40933007,-71.06381878,1251.444444
397,Broadway at Beacham St,42.3983606,-71.06373843,1306.976744
398,75 Binney St,42.36550729,-71.0801376,738.425829
399,Shawmut Ave at Oak St W,42.34854543,-71.06559185,5250.710602
400,Lansdowne T Stop,42.34734473,-71.10016808,1066.709091
401,High St at Cypress St,42.32464511,-71.12135231,1255.514286
402,Washington Sq,42.33985827,-71.13421171,1017.67619
403,Marion St at Harvard St,42.34012243,-71.12070564,1271.540385
404,Mass Ave T Station,42.34135616,-71.08336953,2543.894652
405,Sydney St at Carson St,42.32039374,-71.05355408,24754.97826
408,Edgerly Education Center,42.38717463,-71.08714389,1190.351648
413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,676.8185328
414,Discovery Park - 30 Acorn Park Drive,42.39790817,-71.14797131,911.9959514
415,Stuart St at Berkeley St,42.34954403,-71.07242074,1686.990909
417,Columbus Ave at W. Canton St,42.34474225,-71.07648162,719.8226351
419,Central Square East Boston,42.37544913,-71.03918549,595.2222222
422,American Legion Hwy at Cummins Hwy,42.27881158,-71.11687703,1151.2
424,Jamaica St at South St,42.30604563,-71.11570891,1420.852459
425,The Dimock Center,42.31930943,-71.09639924,1128.344828
426,Surface Rd at Summer St,42.3529457,-71.05656401,821.9437819
432,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,1030
433,Centre St at Parkway YMCA,42.28277901,-71.15728851,2918.090909
434,Spring St at Powell St,42.27748444,-71.16341468,2032.363636
436,Maverick St at Massport Path,42.36774122,-71.03335975,1493.609756
437,Berkshire Street at Cambridge Street,42.37207658,-71.08995434,740.5329268
440,Boston Landing,42.35656092,-71.14167538,1449.209302
441,Sullivan Square,42.38445226,-71.07514855,10746.52713
442,Hyde Park Ave at Walk Hill St,42.29606705,-71.116012,1244.257143
443,Whittier St Health Center,42.33286288,-71.09218862,5038.52
445,Geiger Gibson Community Health Center,42.31886468,-71.04536798,10012.22222
446,700 Commonwealth Ave.,42.34960945,-71.10391524,725.517757
447,The Overlook at St. Gabriel's,42.34679008,-71.14549814,1107.970803
452,1200 Beacon St,42.34414899,-71.11467361,872.611465
455,Coolidge Sq.,42.37207611,-71.15683131,9874.166667
456,Graham and Parks School – Linnaean St at Walker St,42.3829443,-71.12449831,917.2767857
458,Watertown Sq,42.36526032,-71.18573324,2189.510417
461,Railroad Lot and Minuteman Bikeway,42.41606457,-71.15336637,2063.652174
462,Linwood St at Minuteman Bikeway,42.40935396,-71.14906519,962.6390533
